sintomas,especialidad
"Doctor, tengo acné nódulo-quístico de inicio súbito.",Dermatología
Desde ayer tengo algia lumbar mecánica intermitente.,Traumatología
Hay presencia de me cae mal todo lo que como que no pasa.,Gastroenterología
Tengo un nacido en la encía con me sangran las encías al cepillarme.,Odontología
Desde ayer tengo hiperemia conjuntival que no pasa.,Oftalmología
"Me duelen los senos antes de la menstruación, acompañado de me vienen unos cólicos que me tumban.",Ginecología
"Doctor, tengo hipoacusia súbita de inicio súbito.",Otorrinolaringología
Me da se me está cayendo el pelo por parches constante.,Dermatología
Paciente refiere que alopecia areata intermitente.,Dermatología
"No puedo ni tragar del dolor de garganta, acompañado de me mareo si muevo la cabeza.",Otorrinolaringología
Le dio el ataque y se sacudió con me duele toda la cabeza como si tuviera una vincha.,Neurología
Indica tener tiene una tos que no se le quita desde hace 3 días.,Pediatría
Presenta adenopatías generalizadas y dice que me salieron ampollas dolorosas.,Infectología
Indica tener me siento decaído y sin fuerzas que no pasa.,Medicina General
Tengo paso estornudando todo el día que no pasa.,Alergología
"Edema periorbitario, también refiere proteinuria espumosa.",Nefrología
Presento tengo problemas de potencia sexual hace una semana.,Urología
Me da edema en miembros inferiores intermitente.,Cardiología
Acude por presentar tos productiva con esputo desde esta mañana.,Neumología
Ayúdeme con se me atranca la comida al pasar intermitente.,Oncología
Me da fenómeno de Raynaud intermitente.,Reumatología
Siento que disfagia progresiva intermitente.,Oncología
Siento que diplopía hace una semana.,Oftalmología
Indica tener me salió un lunar raro intermitente.,Dermatología
Me da astenia y adinamia que no pasa.,Medicina General
"Me enronché después de tomar la pastilla, también refiere me pica la nariz y los ojos.",Alergología
Manifiesta se está hinchando todo y no respira de inicio súbito.,Emergencias
Manifiesta tengo las piernas hinchadas como tamal hace una semana.,Cardiología
Paciente refiere que dolor abdominal inespecífico intermitente.,Medicina General
"Doctor, tengo epigastralgia urente desde hace 3 días.",Gastroenterología
"Doctor, tengo se me salió el hueso de inicio súbito.",Traumatología
Me arde para orinar y voy a cada rato y siente me duele mucho un testículo.,Urología
Se cortó feo y sale mucha sangre y siente se quemó con agua hirviendo.,Emergencias
Siento que tengo el colon inflamado hace una semana.,Gastroenterología
Presento me duele full el oído derecho de inicio súbito.,Otorrinolaringología
Adenopatías generalizadas con síndrome febril agudo.,Infectología
"Me vienen unos cólicos que me tumban, acompañado de me baja la regla muy fuerte y a deshora.",Ginecología
Estoy tosiendo sangre y siente me chilla el pecho al respirar.,Neumología
Manifiesta tengo un dolor en el riñón que me dobla constante.,Urología
Tengo la luz me molesta muchísimo de inicio súbito.,Oftalmología
"Me salieron ampollas dolorosas, también refiere tengo una fiebre que no se me va.",Infectología
Presento tengo el cuello tieso por el frenazo desde esta mañana.,Traumatología
Ayúdeme con me baja la regla muy fuerte y a deshora desde hace 3 días.,Ginecología
Tengo rinorrea hialina desde hace 3 días.,Medicina General
Me arde la boca del estómago con tengo el colon inflamado.,Gastroenterología
Hay presencia de tengo moquera clara de inicio súbito.,Medicina General
Me salió alergia por tocar algo y siente me enronché después de tomar la pastilla.,Alergología
Acude por presentar me duele la espalda baja a los lados constante.,Nefrología
Siento que hemorragia digestiva oculta constante.,Oncología
Se queja de me duele todo el cuerpo desde esta mañana.,Medicina General
Hay presencia de hemorragia digestiva oculta que no pasa.,Oncología
Indica tener fractura expuesta hace una semana.,Traumatología
"Aumento de peso injustificado, sumado a polidipsia y poliuria.",Endocrinología
"Síndrome febril agudo, acompañado de adenopatías generalizadas.",Infectología
Se queja de me tiemblan las manos que no pasa.,Endocrinología
"Doctor, tengo me ahogo cuando estoy durmiendo de inicio súbito.",Neumología
Se queja de aumento de peso injustificado constante.,Endocrinología
Acude por presentar fotofobia desde hace 3 días.,Oftalmología
Presenta traumatismo craneoencefálico y dice que se está hinchando todo y no respira.,Emergencias
Acude por presentar aumento de peso injustificado que no pasa.,Endocrinología
Ayúdeme con me vienen unos cólicos que me tumban intermitente.,Ginecología
Ayúdeme con me duele toda la cabeza como si tuviera una vincha intermitente.,Neurología
Tengo tengo sangre en las heces de inicio súbito.,Oncología
Ayúdeme con disfagia progresiva intermitente.,Oncología
"Tengo una fiebre que no se me va, también refiere mojo la cama de sudor en la noche.",Infectología
Manifiesta masa palpable no dolorosa que no pasa.,Oncología
Me baja la regla muy fuerte y a deshora y además tengo una picazón allá abajo.,Ginecología
Hay presencia de rinorrea hialina intermitente.,Medicina General
Indica tener odontalgia severa desde esta mañana.,Odontología
Odontalgia severa y además absceso periodontal.,Odontología
"Sibilancias espiratorias, acompañado de disnea paroxística nocturna.",Neumología
Tengo problemas de potencia sexual y siente me duele mucho un testículo.,Urología
"El guagua está hirviendo en fiebre, sumado a le salieron granitos en todo el cuerpo.",Pediatría
Presento dolor en fosa renal desde hace 3 días.,Nefrología
Prurito ocular y nasal y siente edema angioneurótico.,Alergología
"Doctor, tengo dolor abdominal inespecífico hace una semana.",Medicina General
Hay presencia de intolerancia a la vía oral que no pasa.,Pediatría
Tengo tengo un nacido en la encía constante.,Odontología
Manifiesta síndrome febril agudo desde esta mañana.,Infectología
Presento tengo un nacido en la encía que no pasa.,Odontología
Presento hemoptisis constante.,Neumología
Presento se me ponen los dedos blancos con el frío intermitente.,Reumatología
Ayúdeme con me duelen las coyunturas al despertar de inicio súbito.,Reumatología
Paciente refiere que limitación funcional articular desde esta mañana.,Traumatología
Me da miodesopsias desde hace 3 días.,Oftalmología
Siento que edema periorbitario hace una semana.,Nefrología
Siento que tengo sarpullido que pica mucho intermitente.,Dermatología
Manifiesta tengo las piernas hinchadas como tamal intermitente.,Cardiología
Me da tengo morado y soplado después del golpe hace una semana.,Traumatología
Ayúdeme con otalgia derecha intermitente.,Otorrinolaringología
Desde ayer tengo me salió alergia por tocar algo hace una semana.,Alergología
Ayúdeme con algia lumbar mecánica de inicio súbito.,Traumatología
Me da intoxicación exógena que no pasa.,Emergencias
Colitis ulcerosa con epigastralgia urente.,Gastroenterología
"Doctor, tengo palpitaciones taquicárdicas desde hace 3 días.",Cardiología
Acude por presentar tengo morado y soplado después del golpe de inicio súbito.,Traumatología
Siento que deformidad articular desde hace 3 días.,Reumatología
Desde ayer tengo palpitaciones taquicárdicas de inicio súbito.,Cardiología
Me duele mucho un testículo con tengo un dolor en el riñón que me dobla.,Urología
Hay presencia de dismenorrea incapacitante constante.,Ginecología
Fiebre de origen desconocido y siente síndrome febril agudo.,Infectología
Indica tener hipertensión resistente desde hace 3 días.,Nefrología
Hay presencia de fenómeno de Raynaud que no pasa.,Reumatología
Siento que me duelen los senos antes de la menstruación desde hace 3 días.,Ginecología
Siento que crisis de ansiedad generalizada desde esta mañana.,Psiquiatría
"Doctor, tengo hipoacusia súbita intermitente.",Otorrinolaringología
Paciente refiere que me ahogo cuando estoy durmiendo hace una semana.,Neumología
Acude por presentar me punza la espalda al respirar desde esta mañana.,Neumología
"Tengo un dolorcito de cabeza, también refiere me duele todo el cuerpo.",Medicina General
Presenta cólico renoureteral y dice que estoy orinando sangre.,Urología
Hay presencia de estoy vomitando sangre que no pasa.,Gastroenterología
"Dolor abdominal inespecífico, acompañado de dolor musculoesquelético difuso.",Medicina General
Paciente refiere que dolor precordial opresivo desde esta mañana.,Cardiología
Paciente refiere que me chilla el pecho al respirar constante.,Neumología
Siento que tengo sangre en las heces que no pasa.,Oncología
"Miodesopsias, acompañado de disminución de la agudeza visual.",Oftalmología
Distensión abdominal y siente reflujo gastroesofágico.,Gastroenterología
Acude por presentar se me va el aire al subir gradas intermitente.,Cardiología
"Me pica la nariz y los ojos, también refiere me enronché después de tomar la pastilla.",Alergología
"Ictericia marcada, sumado a epigastralgia urente.",Gastroenterología
Dolor pleurítico y siente hemoptisis.,Neumología
"Gingivorragia, acompañado de halitosis.",Odontología
Indica tener tengo tos de perro con flema desde esta mañana.,Neumología
Hay presencia de tengo una fiebre que no se me va de inicio súbito.,Infectología
Tengo le salieron granitos en todo el cuerpo que no pasa.,Pediatría
Hay presencia de casi no estoy orinando nada desde hace 3 días.,Nefrología
Hay presencia de se me están enchuecando los dedos desde hace 3 días.,Reumatología
Paciente refiere que tengo el cuello tieso por el frenazo desde hace 3 días.,Traumatología
Tengo se me ponen los dedos blancos con el frío desde esta mañana.,Reumatología
Indica tener tengo hongos en la piel hace una semana.,Dermatología
Le dio el ataque y se sacudió y además veo lucecitas antes de que me duela la cabeza.,Neurología
Indica tener se me va el aire al subir gradas hace una semana.,Cardiología
Presenta dolor testicular agudo y dice que tengo un dolor en el riñón que me dobla.,Urología
Paciente refiere que estoy orinando sangre que no pasa.,Urología
Hay presencia de parestesias en hemicuerpo que no pasa.,Neurología
Se queja de quemadura de segundo grado hace una semana.,Emergencias
Acude por presentar veo mosquitas volando constante.,Oftalmología
Acude por presentar tengo sarpullido que pica mucho hace una semana.,Dermatología
Acude por presentar dolor poliarticular desde hace 3 días.,Reumatología
Siento que tengo un descenso que huele mal que no pasa.,Ginecología
Tengo casi no estoy orinando nada de inicio súbito.,Nefrología
Manifiesta me hinca el corazón desde hace 3 días.,Cardiología
Presento me salió alergia por tocar algo intermitente.,Alergología
Me baja la regla muy fuerte y a deshora con me vienen unos cólicos que me tumban.,Ginecología
Siento que amanecí con los ojos hinchados hace una semana.,Nefrología
Se me atranca la comida al pasar con me siento una bola dura que no duele.,Oncología
Indica tener reflujo gastroesofágico desde hace 3 días.,Gastroenterología
"Doctor, tengo me salió un lunar raro constante.",Dermatología
Manifiesta la luz me molesta muchísimo desde hace 3 días.,Oftalmología
Presento tengo la cara llena de granos feos desde hace 3 días.,Dermatología
"Dolor musculoesquelético difuso, también refiere dolor abdominal inespecífico.",Medicina General
Desde ayer tengo intolerancia al frío hace una semana.,Endocrinología
Se queja de dolor musculoesquelético difuso que no pasa.,Medicina General
Hay presencia de el guagua está hirviendo en fiebre constante.,Pediatría
Acude por presentar insomnio de conciliación hace una semana.,Psiquiatría
Indica tener vértigo periférico hace una semana.,Neurología
"Tengo un nacido en la encía, sumado a me duele la muela horrible.",Odontología
Acude por presentar me sale sangre de la nariz constante.,Otorrinolaringología
Paciente refiere que todo me da vueltas y me tumba intermitente.,Neurología
Me da se me hinchó la boca y los ojos hace una semana.,Alergología
Presenta cefalea leve y dice que tengo un dolorcito de cabeza.,Medicina General
Se queja de dolor en fosa renal de inicio súbito.,Nefrología
"Doctor, tengo fractura expuesta que no pasa.",Traumatología
Presenta hipoacusia súbita y dice que me sale sangre de la nariz.,Otorrinolaringología
Paciente refiere que miodesopsias desde esta mañana.,Oftalmología
"Ánimo depresivo persistente, sumado a ideación suicida.",Psiquiatría
Estoy viendo doble y siente ya no veo bien las letras de lejos.,Oftalmología
"Cefalea tensional holocraneal, acompañado de crisis convulsiva tónico-clónica.",Neurología
Ayúdeme con astenia y adinamia desde esta mañana.,Medicina General
"Paso estornudando todo el día, sumado a se me hinchó la boca y los ojos.",Alergología
"Quemadura de segundo grado, acompañado de traumatismo craneoencefálico.",Emergencias
Ayúdeme con intolerancia a la vía oral que no pasa.,Pediatría
Siento que dermatitis de contacto desde esta mañana.,Alergología
"Tengo mucha sed y orino bastante, acompañado de me tiemblan las manos.",Endocrinología
Siento que estoy con calentura y cuerpo cortado que no pasa.,Infectología
Paciente refiere que siento hormigueo en medio cuerpo desde esta mañana.,Neurología
"Intolerancia al frío, acompañado de polidipsia y poliuria.",Endocrinología
"Hiperemia conjuntival, también refiere diplopía.",Oftalmología
Presenta traumatismo craneoencefálico y dice que se cortó feo y sale mucha sangre.,Emergencias
Desde ayer tengo ya no veo bien las letras de lejos desde hace 3 días.,Oftalmología
Tengo rigidez articular constante.,Reumatología
Disfagia progresiva con cambios en hábito intestinal.,Oncología
Presento disfagia progresiva desde hace 3 días.,Oncología
"Me chilla el pecho al respirar, también refiere tengo tos de perro con flema.",Neumología
Se cortó feo y sale mucha sangre con se tomó un veneno.,Emergencias
Indica tener me duele full el oído derecho hace una semana.,Otorrinolaringología
Paciente refiere que absceso periodontal intermitente.,Odontología
"Me enronché después de tomar la pastilla, acompañado de se me hinchó la boca y los ojos.",Alergología
Presenta masa palpable no dolorosa y dice que se me atranca la comida al pasar.,Oncología
Presento palpitaciones taquicárdicas intermitente.,Cardiología
Manifiesta me sale sangre de la nariz de inicio súbito.,Otorrinolaringología
Paciente refiere que hematemesis desde esta mañana.,Gastroenterología
Tengo acné nódulo-quístico que no pasa.,Dermatología
"Doctor, tengo disnea de esfuerzo desde esta mañana.",Cardiología
Hay presencia de cervicalgia post-latigazo que no pasa.,Traumatología
"Dolor abdominal inespecífico, sumado a cefalea leve.",Medicina General
Manifiesta hipertensión resistente que no pasa.,Nefrología
Dolor musculoesquelético difuso con astenia y adinamia.,Medicina General
Estoy tosiendo sangre y además me punza la espalda al respirar.,Neumología
Indica tener dolor testicular agudo intermitente.,Urología
Se me hinchó la boca y los ojos y además me salió alergia por tocar algo.,Alergología
Me da crisis convulsiva tónico-clónica constante.,Neurología
Presento aumento de peso injustificado constante.,Endocrinología
Se queja de gingivorragia hace una semana.,Odontología
Paciente refiere que tengo un dolor en el riñón que me dobla desde esta mañana.,Urología
Hay presencia de le salieron granitos en todo el cuerpo hace una semana.,Pediatría
Hay presencia de tengo un descenso que huele mal que no pasa.,Ginecología
Paso con frío todo el tiempo y siente estoy engordando sin comer tanto.,Endocrinología
"Pirexia no cuantificada, acompañado de erupción exantemática.",Pediatría
Me da tengo hongos en la piel de inicio súbito.,Dermatología
Presento ya no hago del baño como antes que no pasa.,Oncología
Presento dolor abdominal inespecífico de inicio súbito.,Medicina General
Angina de pecho estable con hipertensión arterial descontrolada.,Cardiología
Tengo alucinaciones auditivas constante.,Psiquiatría
Se me regresa la comida agria con estoy aventado.,Gastroenterología
Ayúdeme con hipoacusia súbita que no pasa.,Otorrinolaringología
Epistaxis anterior y siente hipoacusia súbita.,Otorrinolaringología
Presento intolerancia al frío que no pasa.,Endocrinología
Se queja de no puedo mover la rodilla ni un poquito desde esta mañana.,Traumatología
Ayúdeme con todo lo que come lo vomita constante.,Pediatría
Siento que me hinca el corazón desde hace 3 días.,Cardiología
Tengo siento hormigueo en medio cuerpo desde esta mañana.,Neurología
Indica tener disnea paroxística nocturna de inicio súbito.,Neumología
"Edema en miembros inferiores, sumado a dolor precordial opresivo.",Cardiología
Hay presencia de le salieron granitos en todo el cuerpo desde esta mañana.,Pediatría
Hay presencia de traumatismo craneoencefálico constante.,Emergencias
Hay presencia de edema periorbitario intermitente.,Nefrología
Hay presencia de rinitis alérgica estacional desde esta mañana.,Alergología
Presenta tos ferina y dice que todo lo que come lo vomita.,Pediatría
"Doctor, tengo adenopatías generalizadas constante.",Infectología
"Ideación suicida, sumado a ánimo depresivo persistente.",Psiquiatría
Me salieron ampollas dolorosas y siente tengo bolas en el cuello y axilas.,Infectología
"Tengo bolas en el cuello y axilas, también refiere tengo una fiebre que no se me va.",Infectología
Tiene una tos que no se le quita y además el guagua está hirviendo en fiebre.,Pediatría
Siento que me pica la nariz y los ojos constante.,Alergología
Acude por presentar disnea paroxística nocturna constante.,Neumología
Tengo quemadura de segundo grado constante.,Emergencias
Me da estoy aventado desde esta mañana.,Gastroenterología
Manifiesta me dio un soponcio y me caí hace una semana.,Cardiología
Desde ayer tengo tengo una picazón allá abajo de inicio súbito.,Ginecología
"Pirexia no cuantificada, sumado a intolerancia a la vía oral.",Pediatría
"Limitación funcional articular, acompañado de fractura expuesta.",Traumatología
Se queja de se me va el aire al subir gradas constante.,Cardiología
Presento me duele mucho un testículo de inicio súbito.,Urología
Siento que dolor abdominal inespecífico intermitente.,Medicina General
"Doctor, tengo veo lucecitas antes de que me duela la cabeza de inicio súbito.",Neurología
"Me siento muy nervioso y con miedo, también refiere no puedo pegar el ojo en toda la noche.",Psiquiatría
Indica tener hemorragia digestiva oculta desde esta mañana.,Oncología
Me da traumatismo craneoencefálico hace una semana.,Emergencias
"Tos ferina, también refiere erupción exantemática.",Pediatría
Tengo miodesopsias desde esta mañana.,Oftalmología
Cambios en hábito intestinal y además pérdida de peso caquectizante.,Oncología
Manifiesta la luz me molesta muchísimo intermitente.,Oftalmología
Hiperemia conjuntival con disminución de la agudeza visual.,Oftalmología
Ayúdeme con artralgias matutinas constante.,Reumatología
Hay presencia de el nene no para de llorar que no pasa.,Pediatría
Acude por presentar me duele la barriga un poco desde hace 3 días.,Medicina General
"Doctor, tengo anafilaxia intermitente.",Emergencias
Acude por presentar se me atranca la comida al pasar constante.,Oncología
Tengo otalgia derecha desde hace 3 días.,Otorrinolaringología
"Dermatitis de contacto, sumado a prurito ocular y nasal.",Alergología
Tengo la presión por las nubes y además me hinca el corazón.,Cardiología
"Tengo sangre en las heces, también refiere me siento una bola dura que no duele.",Oncología
"Me duelen los senos antes de la menstruación, sumado a tengo una picazón allá abajo.",Ginecología
Siento que ideación suicida constante.,Psiquiatría
Indica tener edema periorbitario hace una semana.,Nefrología
"Doctor, tengo me sangran las encías al cepillarme de inicio súbito.",Odontología
"Polidipsia y poliuria, sumado a diaforesis excesiva.",Endocrinología
Manifiesta hiperemia conjuntival hace una semana.,Oftalmología
Paciente refiere que tengo la presión por las nubes que no pasa.,Cardiología
Presenta hipertensión arterial descontrolada y dice que tengo las piernas hinchadas como tamal.,Cardiología
Indica tener intolerancia al frío desde hace 3 días.,Endocrinología
Presento cambios en hábito intestinal desde hace 3 días.,Oncología
Se queja de todo me da vueltas y me tumba desde hace 3 días.,Neurología
Indica tener me baja la regla muy fuerte y a deshora de inicio súbito.,Ginecología
Ayúdeme con tengo la cara llena de granos feos constante.,Dermatología
Hay presencia de escucho voces que nadie más oye que no pasa.,Psiquiatría
Siento que bruxismo desde hace 3 días.,Odontología
Hay presencia de vértigo periférico desde hace 3 días.,Neurología
Paciente refiere que dermatitis atópica que no pasa.,Dermatología
Se queja de temblor distal fino desde hace 3 días.,Endocrinología
Desde ayer tengo sangrado uterino anormal hace una semana.,Ginecología
Indica tener me duele mucho un testículo desde esta mañana.,Urología
Presento temblor distal fino de inicio súbito.,Endocrinología
"Doctor, tengo cefalea tensional holocraneal constante.",Neurología
Alucinaciones auditivas y siente insomnio de conciliación.,Psiquiatría
"Doctor, tengo tengo hongos en la piel constante.",Dermatología
Dolor poliarticular con fenómeno de Raynaud.,Reumatología
Indica tener disuria y polaquiuria desde esta mañana.,Urología
Se queja de edema periorbitario constante.,Nefrología
Se queja de escucho voces que nadie más oye que no pasa.,Psiquiatría
Pirexia no cuantificada y además erupción exantemática.,Pediatría
Paciente refiere que me baja la regla muy fuerte y a deshora desde esta mañana.,Ginecología
Acude por presentar proteinuria espumosa intermitente.,Nefrología
Hay presencia de me pica la nariz y los ojos desde esta mañana.,Alergología
Me da edema en miembros inferiores desde esta mañana.,Cardiología
Hay presencia de se me va el aire al subir gradas que no pasa.,Cardiología
Se queja de dolor testicular agudo que no pasa.,Urología
Se queja de tengo una fiebre que no se me va hace una semana.,Infectología
Me da epigastralgia urente desde hace 3 días.,Gastroenterología
"Oliguria, sumado a edema periorbitario.",Nefrología
Presento ideación suicida de inicio súbito.,Psiquiatría
Hay presencia de sudoración nocturna intermitente.,Infectología
"Doctor, tengo casi no estoy orinando nada intermitente.",Nefrología
Manifiesta hipertensión arterial descontrolada hace una semana.,Cardiología
Me siento una bola dura que no duele y siente me estoy secando de lo flaco.,Oncología
Siento que prurito ocular y nasal constante.,Alergología
Siento que el guagua está hirviendo en fiebre de inicio súbito.,Pediatría
Desde ayer tengo dolor en fosa renal desde hace 3 días.,Nefrología
Siento que epigastralgia urente constante.,Gastroenterología
"Doctor, tengo hiperemia conjuntival constante.",Oftalmología
"Cervicalgia post-latigazo, sumado a edema y equimosis post-traumática.",Traumatología
Indica tener aumento de peso injustificado hace una semana.,Endocrinología
"Casi no estoy orinando nada, sumado a amanecí con los ojos hinchados.",Nefrología
Hay presencia de se está hinchando todo y no respira desde hace 3 días.,Emergencias
Disuria y polaquiuria y además disfunción eréctil.,Urología
Ayúdeme con síncope vasovagal constante.,Cardiología
Hay presencia de tengo morado y soplado después del golpe hace una semana.,Traumatología
Me enronché después de tomar la pastilla con me salió alergia por tocar algo.,Alergología
Ayúdeme con me salió alergia por tocar algo que no pasa.,Alergología
Presento proteinuria espumosa desde esta mañana.,Nefrología
Hipertensión arterial descontrolada y siente palpitaciones taquicárdicas.,Cardiología
Tengo cervicalgia post-latigazo desde hace 3 días.,Traumatología
Angina de pecho estable y siente síncope vasovagal.,Cardiología
Paciente refiere que disuria y polaquiuria constante.,Urología
Se queja de dermatitis de contacto desde hace 3 días.,Alergología
Estoy orinando sangre y siente me arde para orinar y voy a cada rato.,Urología
"Todo me da vueltas y me tumba, acompañado de le dio el ataque y se sacudió.",Neurología
"Intoxicación exógena, acompañado de herida cortopunzante profusa.",Emergencias
"Me palpita feo el corazón, acompañado de se me va el aire al subir gradas.",Cardiología
Acude por presentar polidipsia y poliuria desde hace 3 días.,Endocrinología
Manifiesta escucho voces que nadie más oye hace una semana.,Psiquiatría
"Doctor, tengo hipoacusia súbita constante.",Otorrinolaringología
Diplopía con miodesopsias.,Oftalmología
Tengo tengo bolas en el cuello y axilas hace una semana.,Infectología
Presento se cortó feo y sale mucha sangre intermitente.,Emergencias
Tos productiva con esputo y además hemoptisis.,Neumología
"Doctor, tengo tengo hongos en la piel intermitente.",Dermatología
Edema angioneurótico y siente rinitis alérgica estacional.,Alergología
Acude por presentar se me están enchuecando los dedos desde esta mañana.,Reumatología
Manifiesta artralgias matutinas desde hace 3 días.,Reumatología
Me da tengo un descenso que huele mal de inicio súbito.,Ginecología
Presento se me salió el hueso constante.,Traumatología
"Dermatitis atópica, sumado a alopecia areata.",Dermatología
Siento que edema en miembros inferiores desde esta mañana.,Cardiología
"Me duele la muela horrible, acompañado de tengo un nacido en la encía.",Odontología
Manifiesta aumento de peso injustificado desde hace 3 días.,Endocrinología
Presenta vértigo posicional y dice que me quedé sordo de golpe.,Otorrinolaringología
Indica tener fractura expuesta intermitente.,Traumatología
Paciente refiere que me siento muy nervioso y con miedo de inicio súbito.,Psiquiatría
Desde ayer tengo lesiones herpéticas hace una semana.,Infectología
"Síncope vasovagal, sumado a hipertensión arterial descontrolada.",Cardiología
"Diaforesis excesiva, también refiere polidipsia y poliuria.",Endocrinología
Siento que dolor poliarticular de inicio súbito.,Reumatología
Paciente refiere que tengo un dolor en el riñón que me dobla que no pasa.,Urología
"Veo mosquitas volando, sumado a estoy viendo doble.",Oftalmología
Paciente refiere que tengo las piernas hinchadas como tamal hace una semana.,Cardiología
"Doctor, tengo me duelen todas las uniones intermitente.",Reumatología
Hay presencia de polidipsia y poliuria hace una semana.,Endocrinología
"Tengo una picazón allá abajo, acompañado de tengo un descenso que huele mal.",Ginecología
Indica tener polidipsia y poliuria hace una semana.,Endocrinología
Se me están enchuecando los dedos y siente amanezco tieso.,Reumatología
Tengo erupción exantemática de inicio súbito.,Pediatría
Ayúdeme con estoy con calentura y cuerpo cortado que no pasa.,Infectología
Tengo el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Se queja de reflujo gastroesofágico de inicio súbito.,Gastroenterología
Manifiesta me duele full el oído derecho intermitente.,Otorrinolaringología
Se queja de ya no hago del baño como antes de inicio súbito.,Oncología
Lesiones herpéticas y además adenopatías generalizadas.,Infectología
Indica tener erupción exantemática constante.,Pediatría
Indica tener oliguria hace una semana.,Nefrología
Me da la orina sale con mucha espuma que no pasa.,Nefrología
Manifiesta cólico renoureteral hace una semana.,Urología
Se queja de se me salió el hueso intermitente.,Traumatología
Hay presencia de mastalgia cíclica intermitente.,Ginecología
Ayúdeme con tengo un dolor en el riñón que me dobla intermitente.,Urología
Aumento de peso injustificado y siente temblor distal fino.,Endocrinología
"Tengo un dolor en el riñón que me dobla, también refiere me arde para orinar y voy a cada rato.",Urología
"Diplopía, también refiere fotofobia.",Oftalmología
"Anafilaxia, sumado a intoxicación exógena.",Emergencias
Ayúdeme con paso con frío todo el tiempo hace una semana.,Endocrinología
Tengo un descenso que huele mal con me vienen unos cólicos que me tumban.,Ginecología
Estoy engordando sin comer tanto y siente paso con frío todo el tiempo.,Endocrinología
"Tengo moquera clara, sumado a me siento decaído y sin fuerzas.",Medicina General
"Se me va el aire al subir gradas, acompañado de me hinca el corazón.",Cardiología
Presento me duele full el oído derecho que no pasa.,Otorrinolaringología
Hay presencia de se me regresa la comida agria desde esta mañana.,Gastroenterología
Presento me duele todo el cuerpo constante.,Medicina General
Distensión abdominal con reflujo gastroesofágico.,Gastroenterología
Acude por presentar paso con frío todo el tiempo hace una semana.,Endocrinología
Paciente refiere que otalgia derecha que no pasa.,Otorrinolaringología
Siento que insomnio de conciliación que no pasa.,Psiquiatría
Desde ayer tengo estoy aventado constante.,Gastroenterología
Manifiesta sudo demasiado sin hacer nada intermitente.,Endocrinología
Ayúdeme con hiperemia conjuntival desde hace 3 días.,Oftalmología
Manifiesta cambios en hábito intestinal intermitente.,Oncología
Epigastralgia urente y siente hematemesis.,Gastroenterología
Siento que escucho voces que nadie más oye hace una semana.,Psiquiatría
"Me enronché después de tomar la pastilla, también refiere paso estornudando todo el día.",Alergología
"Doctor, tengo epigastralgia urente constante.",Gastroenterología
Presento vértigo posicional constante.,Otorrinolaringología
Siento que estoy viendo doble intermitente.,Oftalmología
Se queja de tengo el ojo rojo como tomate desde esta mañana.,Oftalmología
Tengo se quemó con agua hirviendo constante.,Emergencias
Indica tener tengo un dolor en el riñón que me dobla intermitente.,Urología
Me duele full el oído derecho y siente no puedo ni tragar del dolor de garganta.,Otorrinolaringología
Hay presencia de tengo morado y soplado después del golpe constante.,Traumatología
Estoy orinando sangre con tengo problemas de potencia sexual.,Urología
Me da anafilaxia intermitente.,Emergencias
Me da erupción exantemática de inicio súbito.,Pediatría
Ayúdeme con siento como una pata de elefante en el pecho intermitente.,Cardiología
"Me tiemblan las manos, sumado a paso con frío todo el tiempo.",Endocrinología
"Paso con frío todo el tiempo, sumado a tengo mucha sed y orino bastante.",Endocrinología
Siento que cefalea tensional holocraneal de inicio súbito.,Neurología
Presento limitación funcional articular hace una semana.,Traumatología
Hay presencia de se rompió la cabeza en la caída intermitente.,Emergencias
Cefalea leve y además rinorrea hialina.,Medicina General
Hay presencia de no puedo pegar el ojo en toda la noche desde esta mañana.,Psiquiatría
Siento que halitosis hace una semana.,Odontología
"Tengo una picazón allá abajo, acompañado de me duelen los senos antes de la menstruación.",Ginecología
Se queja de le dio el ataque y se sacudió de inicio súbito.,Neurología
Me salió un lunar raro con tengo hongos en la piel.,Dermatología
"Dispepsia funcional, acompañado de ictericia marcada.",Gastroenterología
Ayúdeme con deformidad articular hace una semana.,Reumatología
Tengo cefalea leve que no pasa.,Medicina General
Acude por presentar intoxicación exógena desde hace 3 días.,Emergencias
Me da me sale sangre de la nariz de inicio súbito.,Otorrinolaringología
"Doctor, tengo se me ponen los dedos blancos con el frío hace una semana.",Reumatología
Manifiesta me quedé sordo de golpe constante.,Otorrinolaringología
Indica tener acné nódulo-quístico desde hace 3 días.,Dermatología
"Sudo demasiado sin hacer nada, acompañado de estoy engordando sin comer tanto.",Endocrinología
"Doctor, tengo me duele full el oído derecho de inicio súbito.",Otorrinolaringología
Presento me pica la nariz y los ojos de inicio súbito.,Alergología
Ayúdeme con quemadura de segundo grado que no pasa.,Emergencias
Quemadura de segundo grado con herida cortopunzante profusa.,Emergencias
Acude por presentar me siento decaído y sin fuerzas de inicio súbito.,Medicina General
Hay presencia de sangrado uterino anormal desde hace 3 días.,Ginecología
Presento dolor musculoesquelético difuso constante.,Medicina General
"Tos ferina, también refiere irritabilidad y llanto constante.",Pediatría
Desde ayer tengo hipoacusia súbita desde esta mañana.,Otorrinolaringología
"Cólico renoureteral, acompañado de hematuria macroscópica.",Urología
